Sociedad,Detalle,Prima,IGV,Prima total,Imputacion,Grupo,Anticipo,Incluye,Proveedor,Codigo Proveedor,Grupo Articulo,Codigo de Grupo Articulo,Centro,Codigo de centro,Servicio,CECO,Número documento,HES
PE11, VIDA LEY EMPLEADOS 11.23 ,"31,564.41","5,681.59","37,246.00",H,EMPLEADO,SI,Prima sin IGV,MAPFRE,1000000952,Seguros y pensiones,S008413,Planta CD Alicorp Copsa,1012,1000399,PE11100001,4210159386,1003076414
PE11, VIDA LEY OBREROS 11.23 ,"16,698.37","3,005.71","19,704.08",H,EMPLEADO,SI,Prima sin IGV,MAPFRE,1000000952,Seguros y pensiones,S008413,Planta CD Alicorp Copsa,1012,1000399,PE11100001,4210159387,1003076415
PE11, SCTR PENSIÓN 11.23 ,"41,247.23","7,424.50","48,671.73",H,EMPLEADO,SI,Prima sin IGV,MAPFRE,1000000952,Seguros y pensiones,S008413,Planta CD Alicorp Copsa,1012,1000395,PE11100001,4210159388,1003076416
PE21, VIDA LEY EMPLEADOS 11.23 ,756.20,136.12,892.32,H,EMPLEADO,SI,Prima sin IGV,MAPFRE,1000000952,Seguros y pensiones,S008413,Planta APT ITDV Chorrillos,1501,1000399,PE21100002,4210159389,1003076417
PE21, VIDA LEY OBREROS 11.23 ,"3,673.90",661.30,"4,335.20",H,EMPLEADO,SI,Prima sin IGV,MAPFRE,1000000952,Seguros y pensiones,S008413,Planta APT ITDV Chorrillos,1501,1000399,PE21100002,4210159390,1003076418
PE11, SCTR SALUD 11.23 ,"34,367.46","6,186.14","40,553.60",H,EMPLEADO,SI,Prima sin IGV,MAPFRE,1000000529,Seguros y pensiones,S008413,Planta CD Alicorp Copsa,1012,1000395,PE11100001,4210159391,1003076419
PE11, EPS APORTE EMPLEADO H18 11.23 ,"6,527.08","1,174.87","7,701.95",H,EMPLEADO,NO,Prima más IGV,PACIFICO,1000000193,Serv integral salud,S008510,Planta CD Alicorp Copsa,1012,1000613,PE11100001,4210159392,1003076420
PE11, EPS APORTE EMPL H26-28AÑOS 11.23 ,"2,165.58",389.80,"2,555.38",H,EMPLEADO,NO,Prima más IGV,PACIFICO,1000000193,Serv integral salud,S008510,Planta CD Alicorp Copsa,1012,1000613,PE11100001,4210159393,1003076421
PE11, EPS APORTE EMPL PADRES 11.23 ,"11,603.13","2,088.56","13,691.69",H,EMPLEADO,NO,Prima más IGV,PACIFICO,1000000193,Serv integral salud,S008510,Planta CD Alicorp Copsa,1012,1000613,PE11100001,4210159394,1003076422
PE11, EPS APORTE EMPLEADO DIRECTO 11.23 ,"145,670.25","26,220.65","171,890.90",H,EMPLEADO,NO,Prima más IGV,PACIFICO,1000000193,Serv integral salud,S008510,Planta CD Alicorp Copsa,1012,1000613,PE11100001,4210159395,
